ID,Quality,Flags,Flags2,Field004,Field005,Field006,Buyprice,Sellprice,Inventorytype,Allowableclass,Allowablerace,Itemlevel,Requiredlevel,Requiredskill,Requiredskillrank,Requiredspell,Requiredhonorrank,Requiredcityrank,Requiredreputationfaction,Requiredreputationrank,Maxcount,Stackable,Containerslots,Stat_Type1,Stat_Type2,Stat_Type3,Stat_Type4,Stat_Type5,Stat_Type6,Stat_Type7,Stat_Type8,Stat_Type9,Stat_Type10,Stat_Value1,Stat_Value2,Stat_Value3,Stat_Value4,Stat_Value5,Stat_Value6,Stat_Value7,Stat_Value8,Stat_Value9,Stat_Value10,Stat_Unk1_1,Stat_Unk1_2,Stat_Unk1_3,Stat_Unk1_4,Stat_Unk1_5,Stat_Unk1_6,Stat_Unk1_7,Stat_Unk1_8,Stat_Unk1_9,Stat_Unk1_10,Stat_Unk2_1,Stat_Unk2_2,Stat_Unk2_3,Stat_Unk2_4,Stat_Unk2_5,Stat_Unk2_6,Stat_Unk2_7,Stat_Unk2_8,Stat_Unk2_9,Stat_Unk2_10,Scalingstatdistribution,Damagetype,Delay,Rangedmodrange,Spellid_1,Spellid_2,Spellid_3,Spellid_4,Spellid_5,Spelltrigger_1,Spelltrigger_2,Spelltrigger_3,Spelltrigger_4,Spelltrigger_5,Spellcharges_1,Spellcharges_2,Spellcharges_3,Spellcharges_4,Spellcharges_5,Spellcooldown_1,Spellcooldown_2,Spellcooldown_3,Spellcooldown_4,Spellcooldown_5,Spellcategory_1,Spellcategory_2,Spellcategory_3,Spellcategory_4,Spellcategory_5,Spellcategorycooldown_1,Spellcategorycooldown_2,Spellcategorycooldown_3,Spellcategorycooldown_4,Spellcategorycooldown_5,Bonding,Name,Name2,Name3,Name4,Description,Pagetext,Languageid,Pagematerial,Startquest,Lockid,Material,Sheath,Randomproperty,Randomsuffix,Itemset,Area,Map,Bagfamily,Totemcategory,Socketcolor_1,Socketcolor_2,Socketcolor_3,Socketcontent_1,Socketcontent_2,Socketcontent_3,Socketbonus,Gemproperties,Armordamagemodifier,Duration,Itemlimitcategory,Holidayid,Statscalingfactor,Field131,Field132
17,0,0,8192,1.0428,1,1,3,7,4,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,7,0,0,0,0,0,0,0,0,0,100,1000,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,2,Martin Fury,,,,,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,8192,0.972,1,1,18,3,21,-1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Worn Shortsword,,,,,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
35,1,0,8192,1.0353,1,1,24,4,17,-1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Bent Staff,,,,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
36,1,0,8192,1.039,1,1,19,3,21,-1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Worn Mace,,,,,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
37,1,0,8192,1.0426,1,1,19,3,21,-1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Worn Axe,,,,,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0
38,1,0,8192,1.0463,1,1,1,1,4,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Recruit's Shirt,,,,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,0,8192,1.05,1,1,7,1,7,-1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Recruit's Pants,,,,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,0,8192,0.9535,1,1,5,1,8,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Recruit's Boots,,,,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,8192,0.9646,1,1,5,1,8,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Squire's Boots,,,,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,0,8192,0.9682,1,1,7,1,7,-1,-1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,Squire's Pants,,,,,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
