"ID","Effect","EffectAmplitude","EffectAura","EffectAuraPeriod","EffectBasePoints","EffectUnk_320","EffectChainAmplitude","EffectChaintargets","EffectDieSides","EffectItemType","EffectMechanic","EffectMiscValue","EffectMiscValueB","EffectPointsPerCombo","EffectRadiusIndex","EffectRadiusMaxIndex","EffectRealPointsPerLevel","EffectSpellClassMask_1","EffectSpellClassMask_2","EffectSpellClassMask_3","EffectTriggerSpell","ImplicitTargetA","ImplicitTargetB","EffectSpellId","EffectIndex","Field26"
"1","5","1","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","9","1","0","0"
"2","5","1","0","0","0","0","1","0","6","0","0","0","0","0","10","0","0","0","0","0","0","20","9","3","0","0"
"3","5","1","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","11","0","4","0","0"
"4","1","1","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","25","0","5","0","0"
"5","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","7","0","0"
"7","6","0","23","1000","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","42208","1","0","10","1","0"
"6","27","0","4","0","25","0.119","1","0","0","0","0","0","0","0","14","0","0.1","0","0","0","0","28","0","10","0","0"
"8","2","0","0","0","1000","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","11","0","0"
"9","6","1","3","1000","1","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0"
"10","6","1","58","0","200","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","13","0","0"
"11","8","0.5","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0"
"12","9","0.5","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0"
"13","6","0","69","0","1","0","1","0","0","0","0","127","0","0","0","0","0","0","0","0","0","21","0","17","0","0"
"14","10","1","0","0","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","18","0","0"
"16","6","1","8","1000","2","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","22","0","0"
"17","10","1","0","0","40","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","24","0","0"
"18","6","1","12","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","25","0","0"
"19","11","1","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","26","0","0"
"20","12","1","0","0","0","1","1","0","6","0","0","8","0","0","0","0","0","0","0","0","0","17","0","27","0","0"
"21","5","1","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","17","31","0","0"
"22","5","1","0","0","0","1","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","17","33","0","0"
"23","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","34","0","0"
"24","5","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","35","0","0"
