"ID","Field01","Field02","Field03","Field04","Field05","Field06","Field07","Field08","Field09","Field10"
"182","Assassination","514","8","0","0","RogueAssassination","A deadly master of poisons who dispatches victims with vicious dagger strikes.","8","76803","0"
"261","Elemental","62","64","0","0","ShamanElementalCombat","A spellcaster who harnesses the destructive forces of nature and the elements.","8","77222","0"
"398","Blood","2636","32","0","0","DeathKnightBlood","A dark guardian who manipulates and corrupts life energy to sustain $Ghim:her;self in the face of an enemy onslaught.","2","77513","0"
"409","Tenacity","960","0","2","0","HunterPetTenacity","","2","0","0"
"410","Ferocity","2850","0","1","0","HUNTERPETFEROCITY","","8","0","0"
"411","Cunning","49","0","4","0","HunterPetCunning","","8","0","0"
"746","Arms","564","1","0","0","WarriorArms","A battle-hardened master of two-handed weapons, using mobility and overpowering attacks to strike $Ghis:her; opponents down.","8","76838","0"
"752","Balance","225","1024","0","0","DruidBalance","Can take on the form of a powerful Moonkin, balancing the power of Arcane and Nature magic to destroy enemies at a distance.","8","77492","0"
"760","Discipline","566","16","0","0","PriestDiscipline","Uses magic to shield allies from taking damage as well as heal their wounds.","4","77484","0"
"799","Arcane","125","128","0","0","MageArcane","Manipulates arcane energies, playing with the very fabric of time and space.","8","76547","0"
"811","Beast Mastery","5095","4","0","0","HunterBeastMastery","A master of the wild who can tame a wide variety of beasts to assist $Ghim:her; in combat.","8","76657","0"
"831","Holy","70","2","0","0","PALADINHOLY","Invokes the power of the Light to protect and to heal.","4","76669","0"
"871","Affliction","88","256","0","0","WarlockCurses","A master of Shadow magic who specializes in fear, drains and damage-over-time spells.","8","77215","0"
"181","Combat","243","8","0","1","RogueCombat","A swashbuckler who uses agility and guile to stand toe-to-toe with enemies.","8","76806","0"
"263","Enhancement","19","64","0","1","ShamanEnhancement","A totemic warrior who strikes foes with weapons imbued with elemental power.","8","77223","0"
"399","Frost","2632","32","0","1","DeathKnightFrost","An icy harbinger of doom, channeling runic power and delivering rapid weapon strikes.","8","77514","0"
"750","Feral Combat","107","1024","0","1","DruidFeralCombat","Takes on the form of a great cat to deal damage with bleeds and bites or a mighty bear to absorb damage and protect allies.","10","77494","77493"
"807","Marksmanship","3411","4","0","1","HunterMarksmanship","A master archer or sharpshooter who excels in bringing down enemies from afar.","8","76659","0"
"813","Holy","2873","16","0","1","PriestHoly","A versatile healer who can reverse damage on individuals or groups and even heal from beyond the grave.","4","77485","0"
"815","Fury","561","1","0","1","WarriorFury","A furious berserker wielding a weapon in each hand, unleashing a flurry of attacks to carve $Ghis:her; opponents to pieces.","8","76856","0"
"839","Protection","3016","2","0","1","PALADINPROTECTION","Uses Holy magic to shield $Ghimself:herself; and defend allies from attackers.","2","76671","0"
"851","Fire","183","128","0","1","MageFire","Ignites enemies with balls of fire and the breath of dragons.","8","76595","0"
"867","Demonology","90","256","0","1","WarlockSummoning","A warlock who uses both Fire and Shadow magic along with powerful demons.","8","77219","0"
"183","Subtlety","250","8","0","2","RogueSubtlety","A dark stalker who leaps from the shadows to ambush $Ghis:her; unsuspecting prey.","8","76808","0"
"262","Restoration","13","64","0","2","ShamanRestoration","A healer who calls upon ancestral spirits and the cleansing power of water to mend allies' wounds.","4","77226","0"
"400","Unholy","2633","32","0","2","DeathKnightUnholy","A master of death and decay, spreading infection and controlling undead minions to do $Ghis:her; bidding.","8","77515","0"
"748","Restoration","962","1024","0","2","DruidRestoration","Uses heal-over-time Nature spells to keep allies alive, taking on the form of a tree when the need is most urgent.","4","77495","0"
"795","Shadow","234","16","0","2","PriestShadow","Uses sinister Shadow magic, especially damage-over-time spells, to eradicate enemies.","8","77486","0"
"809","Survival","5126","4","0","2","HunterSurvival","A rugged tracker who favors using animal venom, explosives and traps as deadly weapons.","8","76658","0"
"823","Frost","188","128","0","2","MageFrost","Freezes enemies in their tracks and shatters them with Frost magic.","8","76613","0"
"845","Protection","276","1","0","2","WarriorProtection","A stalwart protector who uses a shield to safeguard $Ghimself:herself; and $Ghis:her; allies.","2","76857","0"
"855","Retribution","555","2","0","2","PALADINCOMBAT","A righteous crusader who judges and punishes opponents with weapons and Holy magic.","8","76672","0"
"865","Destruction","547","256","0","2","WarlockDestruction","Calls down demonic fire to burn and demolish enemies.","8","77220","0"
